Passage,Correct Answers,,,,Questions
"Directions for question 46 to 51: Read the following passage and choose the answer that is closest to each of the questions that are based on the passage.

Earlier this month, a wave of tourists from the continental US began visiting Puerto Rico for the chance to see Bad Bunny. This would not be that remarkable – plenty of people go overseas for concerts, as tickets often go for much less than in the US (any dedicated Swiftie will tell you it was much cheaper to see her in Mexico City than, say, LA) – if not for the fact that Bad Bunny, born Benito Antonio Martínez Ocasio, planned ahead for an influx of outsiders to the island. The first nine dates of his landmark 30-show residency at San Juan’s Coliseo de Puerto Rico were reserved exclusively for island residents, who had to present proof of residency at one of nine locations, primarily agricultural markets. Only afterward could anyone from the outside attend the Puerto Rican superstar’s show, No Me Quiero Ir de Aquí (I Don’t Want to Leave Here), a three-hour magnum opus of Boricua pride in support of his new album Debí Tirar Más Fotos (I Should Have Taken More Pictures).

In the nearly 10 years since Bad Bunny broke containment on Soundcloud, he has made defiance of norms and expectations a personal rule. From donning drag in the Yo Perreo Sola video, to seamlessly blending genres old and new, to his refusal to sing or conduct press in English – even his appearances on Saturday Night Live, one of several forays into English media, kept Spanish as the default – Martínez has thrillingly redefined what it looks like to be a global superstar. His residency in San Juan, the triumphant opening salvo of a world tour that will entirely skip the mainland US, is not just the latest bucked model but, I’d argue, the best use of megastardom in recent memory, an application of generational celebrity that unites potent symbolism with actual material change.

With a capacity crowd of about 18,000 fans each night, the 21 dates of No Me Quiero Ir de Aquí open to non-residents are expected to bring 400,000 people to San Juan, two-thirds of them from overseas. The whole residency will inject about 200mintothelong−sufferinglocaleconomy–enoughtobumpupPuertoRico’sGDPby0.15200mintothelong−sufferinglocaleconomy–enoughtobumpupPuertoRico’sGDPby0.15600 or more, on par with decent seats for Beyoncé’s Cowboy Carter or Taylor Swift’s The Eras Tour – and come bundled with rooms in locally owned hotels during the off-season. The deal is intended to dissuade visitors from booking one of the Airbnbs transforming the island into a second-property investment haven pricing out local residents, particularly in the wake of Hurricane Maria, which devastated the island in 2017.","3
3
3
2
3
4",,,,"Q 46. Why did Bad Bunny restrict the first nine shows of his San Juan residency exclusively to Puerto Rico residents?
1) To openly protest U.S. colonial influence on the island.
2) To make ticket prices more affordable for local citizens.
3) To ensure that island residents had initial access before tourists.
4) To preview his new material with a home audience.
***
Q 47. What does Bad Bunny’s approach to international fame most clearly demonstrate?
1) A commitment to entering mainstream English-language entertainment.
2) A willingness to conform to global industry expectations for success.
3) A strategy of challenging celebrity norms to promote cultural and social impact.
4) A desire to remain apolitical and avoid symbolic gestures in his work.
***
Q 48. According to the passage, how does Bad Bunny’s concert residency directly benefit Puerto Rico’s economy?
1) By drawing foreign investment to fund luxury hotel construction.
2) By encouraging Americans to relocate permanently to the island.
3) By directing tourist spending into the local economy and boosting GDP.
4) By helping the government reduce national debt through increased tax revenue.
***
Q 49. What is the symbolic importance of Bad Bunny’s San Juan residency, as portrayed in the passage?
1) It shows how global fame often leads to excessive commercialization.
2) It reinforces Puerto Rican cultural identity through selective inclusion.
3) It promotes English-language media in non-U.S. territories.
4) It demonstrates how tourism can remain detached from local populations.
***
Q 50. Which strategy did Bad Bunny employ to minimize the harmful effects of tourism on Puerto Rico?
1) He arranged to shut down Airbnb operations during the concert period.
2) He made all shows accessible only to local residents.
3) He paired tickets with stays in locally owned hotels.
4) He raised ticket prices to discourage foreign attendance.
***
Q 51. Which of the following initiatives would most logically extend Bad Bunny’s current artistic and economic philosophy?
1) Launching a Spanish-only digital media network exclusive to Puerto Rican residents.
2) Collaborating with global resort chains to offer high-end Caribbean concert packages.
3) Touring U.S. cities with bilingual shows supported by American brands.
4) Organizing a series of Spanish-language residencies across Latin American cities featuring local culture and businesses."
"Directions for question 52 to 57: Read the following passage and choose the answer that is closest to each of the questions that are based on the passage.

Returning from holiday, asked where I have been, I want to say “offline”. The more precise answer is France, where the internet is available. But I tried not to use it compulsively because there isn’t much point in getting away from it all if you carry it all with you on a phone and check it every few minutes.

At some point in the past decade or so, the condition of vacation came to be defined more by detachment from the digital realm than departure from home. The break begins not in a departure lounge but with the act of logging off, setting the out-of-office email auto-reply, archiving work-related WhatsApp chats, deleting social media apps.

The benefit isn’t immediate. The cacophony rings in your ears for a few days before you notice the stillness, the change in tempo. It is the difference between gliding on thermal currents of private thought and hurtling along rails, propelled by the burning urgency of other people’s opinions. The contrast is even starker in reverse, the roar of the tunnel as you go back to work, the jostle of notifications, the bowed head, scrolling the horizon away.

I’m not an analogue nostalgist. I don’t prefer getting lost to having Google Maps. I don’t think people were better informed when they had fewer channels or were less vulnerable to superstition when clerical authority was absolute.

We are now in the third decade of the first digital century. The revolution is irreversible and of unknowable duration. History has had a number of these explosive profusions of interconnectedness, driven by a radical innovation in communication technology. But not many. The writer Naomi Alderman calls them “information crises”, and argues that the present one is only the third. The printing press was the second. The invention of writing some time around the fourth millennium BC was the first.

The comparison doesn’t have to be exact for us to marvel at the scale of what we are experiencing. It is immeasurable because we don’t know how far along the track we have travelled. AI is only getting started.

Readers of the Gutenberg Bible in the late 15th century had no means of anticipating the ways that movable type would transform European social, cultural, economic and political organisation. Are we better equipped to imagine the world after another 100 years of digital Reformation?
My measly fortnight of technological temperance isn’t likely to afford much additional perspective. But it is a reminder that the transformation under way is operating at a cognitive level. When you switch the information flow off for a moment, or just dial it down a bit, you appreciate how intense and overwhelming it is the rest of the time.

Our brains evolved to handle the relatively limited dataset of an immediate physical environment, tracking the bush for predators, eking a survival strategy from scarce resources. We are organic processing units. Our capacity for rational judgment is limited by the rate at which we can turn signals from our senses into a workable mental model of the universe, and choose an appropriate course of action.","2
2
3
2
2
2",,,,"Q 52. Which of the following is most reasonably inferred about the author’s attitude toward digital connectivity during vacations?
1) The author believes going offline is a nostalgic return to a better, simpler time.
2) The author feels digital abstinence during holidays helps reset cognitive overload.
3) The author views complete digital disconnection as unnecessary and unproductive.
4) The author believes avoiding the internet while traveling is impractical in the modern world.
***
Q 53. What is the central idea of the passage?
1) Technology, while essential, has made vacations more stressful than relaxing.
2) Logging off briefly reminds us how cognitively burdensome the digital world has become.
3) The evolution of digital communication mirrors the early days of writing and print.
4) Vacations today are defined more by physical travel than by digital detachment.
***
Q 54. The author is likely to agree with all of the following statements EXCEPT:
1) Occasional disconnection can offer surprising clarity and calm.
2) We are in the early stages of a massive shift in information processing.
3) The problems with the digital age can be solved by returning to older technologies.
4) Human cognitive capacities are limited relative to the pace of modern information flow.
***
Q 55. In the context of the sentence, what does the author most likely mean by the phrase “hurtling along rails, propelled by the burning urgency of other people’s opinions”?
1) Being constantly influenced by others’ emotional needs and crises.
2) Mindlessly reacting to rapid flows of online discourse and content.
3) Physically exhausting oneself through nonstop travel and movement.
4) Aligning one's worldview entirely with mainstream social platforms.
***
Q 56. Which of the following would be the most appropriate title for the passage?
1) The Folly of Technology-Free Vacations
2) Logging Off: A New Form of Escape
3) When Wi-Fi Replaces Wilderness
4) The Decline of Analogue Living
***
Q 57. Which of the following best captures a paradox presented in the passage?
1) Though people crave digital engagement, they are happier when disconnected.
2) Even with more knowledge channels, people are less informed than before.
3) Disconnection requires access to technology in order to be meaningful.
4) Vacations once meant going somewhere new; now, they mean staying online."
"Directions for questions 80 to 85: Read the following transcript and choose the answer that is closest to each of the questions that are based on the transcript.

There is a growing buzz about Artificial Intelligence. New technologies usually have strong proponents who indulge in hype to promote their positive aspects. In this case, the advocates are the technology companies of Silicon Valley. There are sceptics, too, who focus on labour market disruptions and other dystopic possibilities, evident in the many films emerging from Hollywood. The actual outcomes typically lie somewhere in the middle. As far as AI is concerned, the usual discourses of hype and gloom are widely observable. For instance, the hyped-up picture suggests that in the not-too-distant future, people will not have to work unless they choose to and can pursue their own life goals at ease, and the rest would be taken care of efficiently by technology. On the other end of the debate, there are uncomfortable suggestions that machines might become increasingly like human beings, with learning on the job, upgrading of skills, autonomous decisions leading to actions, and the ultimate overwhelming of the human species all being distinct possibilities.

Some disturbing questions arise. If the AI agents become increasingly human, would they constitute a nascent form of non-organic life? Could they go rogue and create mischief? Would that form of life be the next stage of evolution? Would humans be overtaken — first by losing their jobs to machines and then by becoming redundant as a species? All these changes will take time. The critical uncertainty is not whether it will happen, but rather how fast and when? In all this, there are not only questions of technology and economics but also of ethics, regulations and politics. The big issue relates to the possibility of AI evolving into an existential threat to human beings.

Machines can be trained. That is how a computer is made to do routine tasks, usually repetitive in nature. A massive volume of data, usually consisting of text and code, is fed into it from as many sources as possible. Incidentally, this process is extremely energy-intensive and is supposed to emit a lot of extra carbon dioxide, thereby enhancing climate risks. These ‘trained’ machines can perform a variety of tasks, such as translation, making textual summaries, content creation, and answering queries. These Generative AI, as they are referred to, can be of help in augmenting human efforts. This set of AI agents can put together text, speak in a human voice, create images, and even construct videos. The machines can learn by analysing patterns from a very large set of existing data. Most of us have already started using ChatGPT or some other version of generative AI.

There is another form of AI being developed that is more sophisticated, namely Agentic AI. Here, the AI agent can undertake autonomous decision-making and execute actions on specific goals without constant human intervention. It can automate complex workflows, manage financial risks, optimise operations. This AI has an important feature: unlike previous technologies, this AI can decide on its own and act on that decision. This is called ‘agency’ in philosophy, a trait that the human species is supposed to possess. One can well imagine the tasks that can be assigned to such an AI agent. The AI agent is never sick or tired and works at a constant pace, far greater than that achievable by any human enterprise. Can it make mistakes? Usually no. However, scientists have found that sometimes machines get things wrong or fail to deliver comprehensible solutions. This is called a state of hallucination for an AI agent. Since autonomous machines can decide on their own, they could come up with a new solution not hitherto known or tried out, but this could also be a hallucination. It would be difficult to distinguish.","2
2
3
3
2
1",,,,"Q 80. What can be most reasonably inferred about the author’s perspective on the current discourse surrounding Artificial Intelligence?
1) The author believes AI is being portrayed more optimistically than warranted.
2) The author views the AI debate as polarized, with outcomes likely falling between extremes.
3) The author is skeptical of both the utopian and dystopian narratives around AI.
4) The author believes that the public discourse is underestimating the risks posed by AI.
***
Q 81. What is the primary purpose of the third paragraph (“Machines can be trained...”)?
1) To emphasize the ecological cost of AI training processes.
2) To explain how generative AI operates and what it can do.
3) To highlight the limitations of generative AI in complex reasoning.
4) To show that AI tools like ChatGPT are only marginally useful in real-world scenarios.
***
Q 82. Which of the following statements is the author LEAST likely to agree with?
1) Generative AI can support human productivity in many areas.
2) The evolution of AI into autonomous agents raises philosophical concerns.
3) AI agents are always reliable and rarely make mistakes in execution.
4) The speed and endurance of AI agents far exceed that of humans.
***
Q 83. In the context of the final paragraph, what does the word ""hallucination"" most nearly mean?
1) A system malfunction that causes physical damage to hardware.
2) A logical error in code that leads to a repetitive feedback loop.
3) A machine-generated outcome that appears plausible but is actually flawed or nonsensical.
4) A moment where the AI refuses to perform the assigned task due to ethical constraints.
***
Q 84. Which of the following titles would be most appropriate for the passage?
1) AI and the Collapse of Human Labor
2) Between Hype and Harm: The Complex Reality of AI
3) The Next Stage of Evolution: Embracing Machine Intelligence
4) Why Agentic AI Will Replace the Human Mind
***
Q 85. Which of the following best reflects a paradox expressed or implied in the passage?
1) AI agents are powerful tools for human progress, yet they may eventually render humans redundant.
2) The more data machines are trained on, the less energy they require to function effectively.
3) Despite their increasing complexity, AI agents still require constant human monitoring.
4) Generative AI systems can create new ideas, but cannot replicate existing human thought."
"Directions for questions 58 to 64: Complete the following sentences by choosing the most appropriate word/phrase from the options given below.

Q 58. For all the sophistication of a world in which most of our waking hours are spent consuming or interacting with media, we have scarcely advanced in our understanding of what __________.
1) constitutes emotional intelligence
2) defines purposeful engagement
3) attention truly involves
4) promotes digital wellbeing",3,,,,
"Q 59. Climate change is a huge and urgent problem. It is natural to suppose that it is, therefore, __________, an unforced error that we should regret and try to prevent ever happening again.
1) a predictable consequence
2) a historical necessity
3) a terrible mistake
4) a deliberate strategy",3,,,,
"Q 60. A popular narrative now casts all living entities as ‘machines’ built by genes, as Richard Dawkins called them. For Mayr, biology was unique among the sciences precisely because its __________ possessed a program that encoded apparent purpose, design and agency into what they do.
1) conclusions of inquiry
2) objects of study
3) genetic fallacies
4) scientific journals",2,,,,
"Q 61. The decline in opportunity to play has also been accompanied by a decline in empathy and a rise in __________, both of which have been assessed since the late 1970s with standard questionnaires given to normative samples of college students.
1) anxiety
2) narcissism
3) ambition
4) competitiveness",2,,,,
"Q 62. The mindfulness movement is a prominent example of this shift in cultural habits of self-reflection and interrogation. Instead of engaging in deliberation about oneself, what the arts of mindfulness have in common is __________.
1) structured analytical thinking
2) a sharp focus on ideology
3) a non-judgmental awareness of the present moment
4) a constant evaluation of the past",3,,,,
"Q 63. After months of careful planning, the community project finally began to __________ last summer, attracting volunteers from across the town.
1) come about
2) break out
3) turn down
4) pass over",1,,,,
"Q 64. The new trade agreement was hailed as a chance to boost the economy, but critics warned it could be a classic case of __________.
1) a blessing in disguise
2) the last straw
3) a double-edged sword
4) crying over spilt milk",3,,,,
